host_unix_s,host_elapsed_s,host_dt_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw
1789387979.0937939,16.444709099945612,0.019783099996857345,974591,16.564,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.1135788,16.46438100002706,0.019671900081448257,974611,16.584,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.1329992,16.484137799940072,0.01975679991301149,974631,16.604,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.1547017,16.505532099981792,0.02139430004172027,974651,16.624,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.1733196,16.524872799986042,0.01934070000424981,974671,16.644,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.193578,16.544210299965926,0.019337499979883432,974691,16.664,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.213582,16.564588099950925,0.020377799984999,974711,16.684,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.2333403,16.58399479999207,0.019406700041145086,974731,16.704,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.2544928,16.60542539996095,0.021430599968880415,974752,16.725,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.275459,16.626589099992998,0.021163700032047927,974772,16.745,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.2936354,16.644630199996755,0.018041100003756583,974792,16.765,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.313923,16.665002099936828,0.02037189994007349,974812,16.785,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.3330595,16.684116799966432,0.019114700029604137,974832,16.805,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.353409,16.704460499924608,0.02034369995817542,974852,16.825,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.375133,16.726017399923876,0.021556899999268353,974873,16.846,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.3931913,16.74417259998154,0.018155200057663023,974893,16.866,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.413897,16.7645072999876,0.020334700006060302,974913,16.886,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.4350994,16.785740099963732,0.02123279997613281,974933,16.906,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.4532962,16.80439549998846,0.018655400024726987,974953,16.926,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.4755223,16.826420499943197,0.022024999954737723,974973,16.946,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.4940457,16.844774800003506,0.01835430006030947,974994,16.967,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.5140085,16.865130699938163,0.020355899934656918,975014,16.987,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.5335002,16.88458489999175,0.019454200053587556,975034,17.007,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.553324,16.904374100035056,0.019789200043305755,975054,17.027,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.5744824,16.925401199958287,0.021027099923230708,975074,17.047,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.5932083,16.944352800026536,0.01895160006824881,975095,17.068,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.613798,16.964694599970244,0.020341799943707883,975115,17.088,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.6352186,16.985902199987322,0.02120760001707822,975135,17.108,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.6554525,17.006959500024095,0.021057300036773086,975155,17.128,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.6758225,17.027133299969137,0.020173799945041537,975175,17.148,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.6954134,17.04660989996046,0.019476599991321564,975196,17.169,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.7135441,17.064311599940993,0.017701699980534613,975215,17.188,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.7344377,17.08523830003105,0.020926700090058148,975235,17.208,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.7576442,17.108911699964665,0.023673399933613837,975256,17.229,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.7768474,17.128369799931534,0.019458099966868758,975276,17.249,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.7956166,17.146307099959813,0.017937300028279424,975296,17.269,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.8157961,17.166703599970788,0.020396500010974705,975316,17.289,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.8360274,17.18665950000286,0.01995590003207326,975336,17.309,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.8661883,17.216855100006796,0.030195600003935397,975367,17.34,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.8764462,17.227472799946554,0.010617699939757586,975377,17.35,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.8960462,17.247525800019503,0.020053000072948635,975397,17.37,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.915525,17.26687699998729,0.01935119996778667,975417,17.39,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.9356854,17.286744799930602,0.019867799943313003,975437,17.41,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.9573696,17.30874380003661,0.02199900010600686,975457,17.43,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.9776778,17.328573599923402,0.019829799886792898,975477,17.45,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387979.996034,17.347982099978253,0.019408500054851174,975498,17.471,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.0153093,17.365891800029203,0.01790970005095005,975518,17.491,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.0342486,17.38572589994874,0.01983409991953522,975538,17.511,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.053817,17.404420399921946,0.018694499973207712,975558,17.531,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.0749643,17.426140499999747,0.021720100077800453,975578,17.551,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.0959163,17.44712809997145,0.020987599971704185,975598,17.571,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.1140146,17.464877899968997,0.01774979999754578,975618,17.591,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.13526,17.486195500008762,0.02131760003976524,975639,17.612,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.155048,17.506597199942917,0.02040169993415475,975659,17.632,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.1764748,17.52716059994418,0.02056340000126511,975679,17.652,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.1942651,17.54609109996818,0.01893050002399832,975699,17.672,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.2152767,17.565948799951002,0.01985769998282194,975719,17.692,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.2338185,17.585229699965566,0.019280900014564395,975739,17.712,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.2566175,17.60730929998681,0.022079600021243095,975759,17.732,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.2796273,17.630220599938184,0.02291129995137453,975780,17.753,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.2960315,17.64752639993094,0.017305799992755055,975800,17.773,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.3164773,17.667156699928455,0.019630299997515976,975820,17.793,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.336254,17.68736490001902,0.020208200090564787,975840,17.813,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.3576376,17.708332699956372,0.020967799937352538,975860,17.833,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.376637,17.727262199972756,0.018929500016383827,975880,17.853,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.397517,17.748109100037254,0.020846900064498186,975901,17.874,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.4170332,17.768531700014137,0.02042259997688234,975921,17.894,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.4350572,17.786339499987662,0.017807799973525107,975941,17.914,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.457647,17.80886659992393,0.022527099936269224,975961,17.934,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.4753733,17.82633860001806,0.017472000094130635,975981,17.954,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.4940221,17.84463019995019,0.0182915999321267,976001,17.974,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.5142498,17.864913000026718,0.020282800076529384,976021,17.994,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.5330892,17.88419749995228,0.01928449992556125,976042,18.015,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.555964,17.90672169998288,0.022524200030602515,976062,18.035,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.5765033,17.92713399999775,0.02041230001486838,976082,18.055,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.593228,17.94434679998085,0.017212799983099103,976102,18.075,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.6134121,17.964294799952768,0.01994799997191876,976122,18.095,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.6331706,17.98450729995966,0.020212500006891787,976142,18.115,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.6528285,18.00440420000814,0.019896900048479438,976163,18.136,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.6754596,18.0260901999427,0.02168599993456155,976183,18.156,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.693557,18.04465039994102,0.01856019999831915,976203,18.176,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.7143953,18.065912200021558,0.021261800080537796,976223,18.196,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.7347102,18.085857399972156,0.01994519995059818,976243,18.216,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.7552962,18.106637999997474,0.020780600025318563,976263,18.236,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.776503,18.127786500030197,0.02114850003272295,976284,18.257,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.795252,18.14641769998707,0.01863119995687157,976304,18.277,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.8156102,18.166525600012392,0.020107900025323033,976324,18.297,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
